CBA_ID,UNION_ID,PSIC.x,REGION,EBU_YEAR_REG,SCOPE.x,TYPE,EMPLOYEES,MEMBERS,union_density,island_grp,FILE_ID,FIRM_NAME.y,PSIC.y,UNION_NAME.y,START_DATE,END_DATE,BARGAIN_UNIT,SCOPE.y,YEAR_REG,Duration,CBA_yes,EVENT,UNIONAGE1,UNIONAGE2,TIMECBA,SCOPE_new,Type,Sector,sector_grp,Density
NA,10499,ADMINISTRATIVE AND SUPPORT  SERVICE ACTIVITIES,CAR,2017,SUPERVISORY,INDEPENDENT UNION,675,36,5.333333333333334,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,4,4,OTHERS,Independent,All others,Services,Low density
NA,10563,MANUFACTURING,I,2020,RANK AND FILE,LOCAL/CHAPTER,NA,210,NA,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,NA
0098,10564,MANUFACTURING,I,2017,RANK AND FILE,INDEPENDENT UNION,NA,12,NA,Luzon,0098_Ginebra,"GINEBRA SAN MIGUEL, INC.",MANUFACTURING,GINEBRA SAN MIGUEL INC. STA-BARBARA PLANT DAILY PAID WORKER'S INDEPENDENT UNION (GSMI-SBP DPWIU),2020-01-01T00:00:00Z,2022-12-31T00:00:00Z,69,NA,2021,3,With CBA,1,4,4,4,RANK-AND-FILE,Independent,Manufacturing,Industry,NA
1077,10648,OTHER SERVICES  ACTIVITIES,II,2020,SUPERVISORY,LOCAL/CHAPTER,1800,80,4.444444444444445,Luzon,1077_SAVI,"SUCCEED ASIA VENTURES, INC.","ARTS, ENTERTAINMENT AND RECREATION",CAGAYAN HOLIDAY AND LEISURE EMPLOYEES UNION-LIKHA (CHLEU-LIKHA),2020-01-01T00:00:00Z,2024-12-31T00:00:00Z,NA,NA,2020,5,With CBA,1,0,1,0,OTHERS,Local/Chapter,All others,Services,Low density
NA,10649,WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND  MOTORCYCLES,II,2019,RANK AND FILE,LOCAL/CHAPTER,24,18,75,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,2,2,RANK-AND-FILE,Local/Chapter,All others,Services,High density
NA,10698,MANUFACTURING,III,2020,RANK AND FILE,LOCAL/CHAPTER,800,150,18.75,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,10699,MANUFACTURING,III,2020,RANK AND FILE,LOCAL/CHAPTER,520,480,92.30769231,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,10700,MANUFACTURING,III,2020,RANK AND FILE,LOCAL/CHAPTER,4200,4164,99.14285714285714,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,High density
NA,10701,MANUFACTURING,III,2020,RANK AND FILE,LOCAL/CHAPTER,2500,367,14.680000000000001,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
NA,10702,MANUFACTURING,III,2020,RANK AND FILE,LOCAL/CHAPTER,110,17,15.454545454545453,Luzon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No CBA,0,NA,1,1,RANK-AND-FILE,Local/Chapter,Manufacturing,Industry,Low density
